,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueprint Name,Best Price,Outer Ring,The Forge,The Citadel,Black Rise,Molden Heath,Heimatar,Metropolis,Tash-Murkon,Devoid,The Bleak Lands,Domain,Kador,Aridia,Kor-Azor,Genesis,Sinq Laison,Everyshore,Solitude,Placid,Essence,Verge Vendor,Derelik,Khanid,Syndicate,Venal,Curse,Lonetrek,Great Wildlands,Stain
Aeon Blueprint,"18,500,000,000.00",,,,,,,,"18,500,000,000.00",,"18,500,000,000.00","18,500,000,000.00","18,500,000,000.00","18,500,000,000.00","18,500,000,000.00","18,500,000,000.00",,,,,,,,,,,,,,
Wyvern Blueprint,"18,000,000,000.00",,"18,000,000,000.00","18,000,000,000.00","18,000,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"18,000,000,000.00",,
Standup Arcing Vorton Projector I Blueprint,"10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00",,,"10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00","10,000,000,000.00",,,"10,000,000,000.00",,,"10,000,000,000.00",,
Standup Supercapital Shipyard I Blueprint,"9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00",,,"9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00","9,000,000,000.00",,,"9,000,000,000.00",,,"9,000,000,000.00",,
Standup Market Hub I Blueprint,"7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00",,,"7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00",,,"7,000,000,000.00",,,"7,000,000,000.00",,
Astrahus Blueprint,"6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00",,,"6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00",,,"6,000,000,000.00",,,"6,000,000,000.00",,
Raitaru Blueprint,"4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00",,,"4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00",,,"4,000,000,000.00",,,"4,000,000,000.00",,
Standup Capital Shipyard I Blueprint,"4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00",,,"4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00",,,"4,000,000,000.00",,,"4,000,000,000.00",,
Capital Jump Bridge Array Blueprint,"3,141,342,800.00",,"3,141,342,800.00","3,141,342,800.00","3,141,342,800.00","3,141,342,800.00","3,141,342,800.00","3,141,342,800.00","3,141,342,800.00",,"3,141,342,800.00","3,141,342,800.00","3,141,342,800.00","3,141,342,800.00","3,141,342,800.00","3,141,342,800.00","3,141,342,800.00",,"3,141,342,800.00","3,141,342,800.00","3,141,342,800.00","3,141,342,800.00",,,,,,"3,141,342,800.00",,
Rorqual Blueprint,"3,000,000,000.00","3,000,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entrapment Array 5 Blueprint,"2,500,000,000.00",,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,,,,"2,500,000,000.00",,
Standup XL-Set Equipment and Consumable Manufacturing Efficiency I Blueprint,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00",,,"2,500,000,000.00",,
Standup XL-Set Ship Manufacturing Efficiency I Blueprint,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00",,,"2,500,000,000.00",,
Standup XL-Set Laboratory Optimization I Blueprint,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00",,,"2,500,000,000.00",,
Standup XL-Set Structure and Component Manufacturing Efficiency I Blueprint,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00",,,"2,500,000,000.00",,
Standup XL-Set Missile Fire Control Computer I Blueprint,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00",,,"2,500,000,000.00",,
Standup XL-Set EW and Emissions Co-ordinator I Blueprint,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00",,,"2,500,000,000.00",,
Standup XL-Set Extinction Level Weapons Suite I Blueprint,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00",,,"2,500,000,000.00",,
Standup XL-Set Reprocessing Monitor I Blueprint,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00",,,"2,500,000,000.00",,,"2,500,000,000.00",,
Capital Doomsday Weapon Mount Blueprint,"2,146,886,800.00",,"2,146,886,800.00","2,146,886,800.00","2,146,886,800.00","2,146,886,800.00","2,146,886,800.00","2,146,886,800.00","2,146,886,800.00",,"2,146,886,800.00","2,146,886,800.00","2,146,886,800.00","2,146,886,800.00","2,146,886,800.00","2,146,886,800.00","2,146,886,800.00",,"2,146,886,800.00","2,146,886,800.00","2,146,886,800.00","2,146,886,800.00",,,,,,"2,146,886,800.00",,
Covetor Blueprint,"2,000,000,000.00","2,000,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revelation Blueprint,"2,000,000,000.00",,,,,,,,"2,000,000,000.00",,"2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00",,,,,,,,,,,,,,
Charon Blueprint,"2,000,000,000.00",,"2,000,000,000.00","2,000,000,000.00","2,000,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"2,000,000,000.00",,
Entrapment Array 4 Blueprint,"2,000,000,000.00",,"2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00",,"2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00",,"2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00",,,,,,"2,000,000,000.00",,
Phoenix Blueprint,"1,950,000,000.00",,"1,950,000,000.00","1,950,000,000.00","1,950,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"1,950,000,000.00",,
Obelisk Blueprint,"1,950,000,000.00",,,,,,,,,,,,,,,,"1,950,000,000.00",,"1,950,000,000.00","1,950,000,000.00","1,950,000,000.00","1,950,000,000.00",,,,,,,,
Moros Blueprint,"1,900,000,000.00",,,,,,,,,,,,,,,,"1,900,000,000.00",,"1,900,000,000.00","1,900,000,000.00","1,900,000,000.00","1,900,000,000.00",,,,,,,,
Providence Blueprint,"1,900,000,000.00",,,,,,,,"1,900,000,000.00",,"1,900,000,000.00","1,900,000,000.00","1,900,000,000.00","1,900,000,000.00","1,900,000,000.00","1,900,000,000.00",,,,,,,,,,,,,,
Naglfar Blueprint,"1,850,000,000.00",,,,,"1,850,000,000.00","1,850,000,000.00","1,850,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Fenrir Blueprint,"1,850,000,000.00",,,,,"1,850,000,000.00","1,850,000,000.00","1,850,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Abaddon Blueprint,"1,800,000,000.00",,,,,,,,"1,800,000,000.00",,"1,800,000,000.00","1,800,000,000.00","1,800,000,000.00","1,800,000,000.00","1,800,000,000.00","1,800,000,000.00",,,,,,,,,,,,,,
Hyperion Blueprint,"1,760,000,000.00",,,,,,,,,,,,,,,,"1,760,000,000.00",,"1,760,000,000.00","1,760,000,000.00","1,760,000,000.00","1,760,000,000.00",,,,,,,,
Retriever Blueprint,"1,700,000,000.00","1,700,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Ship Maintenance Bay Blueprint,"1,697,361,200.00",,"1,697,361,200.00","1,697,361,200.00","1,697,361,200.00","1,697,361,200.00","1,697,361,200.00","1,697,361,200.00","1,697,361,200.00",,"1,697,361,200.00","1,697,361,200.00","1,697,361,200.00","1,697,361,200.00","1,697,361,200.00","1,697,361,200.00","1,697,361,200.00",,"1,697,361,200.00","1,697,361,200.00","1,697,361,200.00","1,697,361,200.00",,,,,,"1,697,361,200.00",,
Capital Clone Vat Bay Blueprint,"1,683,418,400.00",,"1,683,418,400.00","1,683,418,400.00","1,683,418,400.00","1,683,418,400.00","1,683,418,400.00","1,683,418,400.00","1,683,418,400.00",,"1,683,418,400.00","1,683,418,400.00","1,683,418,400.00","1,683,418,400.00","1,683,418,400.00","1,683,418,400.00","1,683,418,400.00",,"1,683,418,400.00","1,683,418,400.00","1,683,418,400.00","1,683,418,400.00",,,,,,"1,683,418,400.00",,
Capital Corporate Hangar Bay Blueprint,"1,670,784,800.00",,"1,670,784,800.00","1,670,784,800.00","1,670,784,800.00","1,670,784,800.00","1,670,784,800.00","1,670,784,800.00","1,670,784,800.00",,"1,670,784,800.00","1,670,784,800.00","1,670,784,800.00","1,670,784,800.00","1,670,784,800.00","1,670,784,800.00","1,670,784,800.00",,"1,670,784,800.00","1,670,784,800.00","1,670,784,800.00","1,670,784,800.00",,,,,,"1,670,784,800.00",,
Capital Jump Drive Blueprint,"1,663,964,800.00",,"1,663,964,800.00","1,663,964,800.00","1,663,964,800.00","1,663,964,800.00","1,663,964,800.00","1,663,964,800.00","1,663,964,800.00",,"1,663,964,800.00","1,663,964,800.00","1,663,964,800.00","1,663,964,800.00","1,663,964,800.00","1,663,964,800.00","1,663,964,800.00",,"1,663,964,800.00","1,663,964,800.00","1,663,964,800.00","1,663,964,800.00",,,,,,"1,663,964,800.00",,
Dominix Blueprint,"1,660,000,000.00",,,,,,,,,,,,,,,,"1,660,000,000.00",,"1,660,000,000.00","1,660,000,000.00","1,660,000,000.00","1,660,000,000.00",,,,,,,,
Rokh Blueprint,"1,650,000,000.00",,"1,650,000,000.00","1,650,000,000.00","1,650,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"1,650,000,000.00",,
Standup Cloning Center I Blueprint,"1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00",,,"1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,600,000,000.00",,,"1,600,000,000.00",,,"1,600,000,000.00",,
Armageddon Blueprint,"1,565,000,000.00",,,,,,,,"1,565,000,000.00",,"1,565,000,000.00","1,565,000,000.00","1,565,000,000.00","1,565,000,000.00","1,565,000,000.00","1,565,000,000.00",,,,,,,,,,,,,,
Bowhead Blueprint,"1,550,000,000.00","1,550,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Siege Array Blueprint,"1,543,366,400.00",,"1,543,366,400.00","1,543,366,400.00","1,543,366,400.00","1,543,366,400.00","1,543,366,400.00","1,543,366,400.00","1,543,366,400.00",,"1,543,366,400.00","1,543,366,400.00","1,543,366,400.00","1,543,366,400.00","1,543,366,400.00","1,543,366,400.00","1,543,366,400.00",,"1,543,366,400.00","1,543,366,400.00","1,543,366,400.00","1,543,366,400.00",,,,,,"1,543,366,400.00",,
Entrapment Array 3 Blueprint,"1,500,000,000.00",,"1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00",,"1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00",,"1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00",,,,,,"1,500,000,000.00",,
Pirate Detection Array 5 Blueprint,"1,500,000,000.00",,"1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00",,"1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00",,"1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,500,000,000.00",,,,,,"1,500,000,000.00",,
Capital Turret Hardpoint Blueprint,"1,462,602,000.00",,,,,"1,462,602,000.00","1,462,602,000.00","1,462,602,000.00","1,462,602,000.00",,"1,462,602,000.00","1,462,602,000.00","1,462,602,000.00","1,462,602,000.00","1,462,602,000.00","1,462,602,000.00","1,462,602,000.00",,"1,462,602,000.00","1,462,602,000.00","1,462,602,000.00","1,462,602,000.00",,,,,,,,
Maelstrom Blueprint,"1,450,000,000.00",,,,,"1,450,000,000.00","1,450,000,000.00","1,450,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Procurer Blueprint,"1,400,000,000.00","1,400,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Launcher Hardpoint Blueprint,"1,393,368,000.00",,"1,393,368,000.00","1,393,368,000.00","1,393,368,000.00","1,393,368,000.00","1,393,368,000.00","1,393,368,000.00",,,,,,,,,,,,,,,,,,,,"1,393,368,000.00",,
Capital Power Generator Blueprint,"1,360,063,200.00",,,,,"1,360,063,200.00","1,360,063,200.00","1,360,063,200.00","1,360,063,200.00",,"1,360,063,200.00","1,360,063,200.00","1,360,063,200.00","1,360,063,200.00","1,360,063,200.00","1,360,063,200.00",,,,,,,,,,,,,,
Capital Shield Emitter Blueprint,"1,306,728,000.00",,"1,306,728,000.00","1,306,728,000.00","1,306,728,000.00",,,,,,,,,,,,,,,,,,,,,,,"1,306,728,000.00",,
Capital Armor Plates Blueprint,"1,291,210,800.00",,,,,,,,"1,291,210,800.00",,"1,291,210,800.00","1,291,210,800.00","1,291,210,800.00","1,291,210,800.00","1,291,210,800.00","1,291,210,800.00",,,,,,,,,,,,,,
Apocalypse Blueprint,"1,265,000,000.00",,,,,,,,"1,265,000,000.00",,"1,265,000,000.00","1,265,000,000.00","1,265,000,000.00","1,265,000,000.00","1,265,000,000.00","1,265,000,000.00",,,,,,,,,,,,,,
Capital Propulsion Engine Blueprint,"1,253,962,000.00",,,,,"1,253,962,000.00","1,253,962,000.00","1,253,962,000.00",,,,,,,,,,,,,,,,,,,,,,
Megathron Blueprint,"1,250,000,000.00",,,,,,,,,,,,,,,,"1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,,,,,,,
Thanatos Blueprint,"1,250,000,000.00",,,,,,,,,,,,,,,,"1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,,,,,,,
Pirate Detection Array 4 Blueprint,"1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,,,,,"1,250,000,000.00",,
Quantum Flux Generator 5 Blueprint,"1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,,,,,"1,250,000,000.00",,
Ore Prospecting Array 5 Blueprint,"1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,,,,,"1,250,000,000.00",,
Survey Networks 5 Blueprint,"1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00",,,,,,"1,250,000,000.00",,
Capital Computer System Blueprint,"1,228,398,800.00",,"1,228,398,800.00","1,228,398,800.00","1,228,398,800.00",,,,,,,,,,,,,,,,,,,,,,,"1,228,398,800.00",,
Capital Sensor Cluster Blueprint,"1,202,763,200.00",,"1,202,763,200.00","1,202,763,200.00","1,202,763,200.00",,,,,,,,,,,,"1,202,763,200.00",,"1,202,763,200.00","1,202,763,200.00","1,202,763,200.00","1,202,763,200.00",,,,,,"1,202,763,200.00",,
Nidhoggur Blueprint,"1,150,000,000.00",,,,,"1,150,000,000.00","1,150,000,000.00","1,150,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Capital Capacitor Battery Blueprint,"1,146,936,000.00",,,,,,,,"1,146,936,000.00",,"1,146,936,000.00","1,146,936,000.00","1,146,936,000.00","1,146,936,000.00","1,146,936,000.00","1,146,936,000.00",,,,,,,,,,,,,,
Raven Blueprint,"1,135,000,000.00",,"1,135,000,000.00","1,135,000,000.00","1,135,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"1,135,000,000.00",,
Archon Blueprint,"1,100,000,000.00",,,,,,,,"1,100,000,000.00",,"1,100,000,000.00","1,100,000,000.00","1,100,000,000.00","1,100,000,000.00","1,100,000,000.00","1,100,000,000.00",,,,,,,,,,,,,,
Scorpion Blueprint,"1,075,000,000.00",,"1,075,000,000.00","1,075,000,000.00","1,075,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"1,075,000,000.00",,
Tempest Blueprint,"1,055,000,000.00",,,,,"1,055,000,000.00","1,055,000,000.00","1,055,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Chimera Blueprint,"1,050,000,000.00",,"1,050,000,000.00","1,050,000,000.00","1,050,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"1,050,000,000.00",,
Capital Construction Parts Blueprint,"1,005,494,000.00",,,,,,,,,,,,,,,,"1,005,494,000.00",,"1,005,494,000.00","1,005,494,000.00","1,005,494,000.00","1,005,494,000.00",,,,,,,,
Entrapment Array 2 Blueprint,"1,000,000,000.00",,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00",,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00",,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00",,,,,,"1,000,000,000.00",,
Pirate Detection Array 3 Blueprint,"1,000,000,000.00",,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00",,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00",,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00",,,,,,"1,000,000,000.00",,
Quantum Flux Generator 4 Blueprint,"1,000,000,000.00",,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00",,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00",,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00",,,,,,"1,000,000,000.00",,
